28499;Abrihet;Tigrinya of Ethiopia female name meaning &quot,she has made it light, she emanates light.&quot,;Female;African;49
28500;Abril;The month April: symbolizes spring.;Female;Spanish;58000
28501;Absalom;father is peace;Male;Hebrew;1000
28502;Absalom;Father of peace. In the bible Absalom son of King David was renowned for handsome appearance and ability to win loyalty and allegiance.;Male;Hebrew;1000
28503;Absyrtus;myth name (brother of Medea);Male;Greek;8
28504;Abu Al Khayr;one who does good;Male;Arabic;5
28505;Abu Bakr;Companion of Muhammad;Male;Arabic;3000
28506;Abubakar;noble;Male;Egyptian;45000
28507;Abukcheech;Algonquin name meaning &quot, mouse.&quot,;Male;Native;2
28508;Abukcheech;Mouse (Algonquin);Male;Native American;2
28509;Abydos;from Abydos;Male;Greek;263
28510;Acacia;&quot,Resurrection&quot, or &quot,guileless.&quot,Name of a blossoming tree that symbolizes rebirth. Some variants are Cacia, Cacie, Casey, Cassie, Cassy, Kacia, Kacie, Kacey, Kassie, and Kassy.;Female;Greek;17000
28511;Acacia;&quot,thorny.&quot,;Female;African;17000
28512;Acacia;Honorable. Biblical: acacia wood was used to build the wilderness Tabernacle.;Female;Spanish;17000
28513;Academia;named for Ciceros villa ACARNANIA;Female;Latin;177000
28514;Acair;Anchor;Male;Scottish;29
28515;Acaiseid;Anchor;Male;Scottish;0
28516;Acantha;thorn;Female;Greek;145
28517;Acastus;myth name (an Argonaut);Male;Greek;54
28518;Acca;&quot,From Acca.&quot,;Female;Anglo;83000
28519;Acca;From Acca;Female;Anglo-Saxon;83000
28520;Accalon;lover of Margan le Fay (fifteenth century);Male;Arthurian;63
28521;Accalon;Lover of Morgan le Fay;Male;Arthurian Legend;63
28522;Ace;A nickname given to one who excels: also an English surname meaning noble.;Male;English;282000
28523;Ace;unity;Male;Anglo;282000
28524;Ace;Unity;Male;Anglo-Saxon;282000
28525;Acel;Adherent of a nobleman;Male;French;2000
28526;Aceline;&quot,Noble, highborn.&quot, Variant Asceline exists.;Female;French;265
28527;Aceline;Noble;Female;French;265
28528;Acennan;brings;Male;Anglo;5
28529;Acennan;Brings;Male;Anglo-Saxon;5
28530;Acestes;myth name;Male;Greek;78
28531;Acey;Unity;Male;Anglo-Saxon;2000
28532;Achaius;Friend of a horse;Male;Scottish;46
28533;Achak;Algonquin name meaning &quot, spirit.&quot,;Male;Native;414
28534;Achak;Spirit (Algonquin);Male;Native American;414
28535;Achan;Dinka of south Sudan name for a female child in the first pair of twins.;Female;African;3000
28536;Acharya;spiritual teacher;Male;Indian;46000
28537;Achates;myth name (companion of Aeneas);Male;Greek;201
28538;Achcauhtli;unisexual name meaning &quot,leader.&quot,;Female;Nahuatl;4
28539;Achcauhtli;unisexual name meaning &quot,leader.&quot,;Male;Nahuatl;4
28540;Acheflour;white flower;Female;Arthurian;5
28541;Acheflow;White flower;Female;Arthurian Legend;3
28542;Achelous;myth name (a river god);Male;Greek;104
28543;Acheron;myth name (river of woe);Male;Greek;618
28544;Achilles;lipless;Male;Greek;8000
28545;Achir;new;Male;Indian;575
28546;Acim;&quot,The Lord will judge.&quot,;Male;Hebrew;3000
28547;Acima;Feminine form of Acim, &quot,the Lord will judge.&quot,Variants include Acimah, Achima, and Achimah.&quot,;Female;Hebrew;2000
28548;Acis;myth name (lover of Galatea);Male;Greek;4000
28549;Acker;from the oak tree;Male;English;11000
28550;Ackerley;Dweller at the acre meadow;Male;English;1000
28551;Ackerley;from the oak-tree meadow;Male;English;1000
28552;Ackerman;man of oak;Male;English;24000
28553;Ackley;Dwells at the oak tree meadow;Male;English;4000
28554;Acolmixtli;meaning unknown;Male;Nahuatl;1
28555;Aconteus;myth name;Male;Greek;0
28556;Acrisius;myth name (grandfather of Perseus);Male;Greek;12
28557;Actassi;share the sea;Male;Chamoru;1
28558;Acteon;myth name (a hunter torn apart by his own dogs);Male;Greek;703
28559;Acwel;Kills;Male;Anglo-Saxon;9
28560;Acwellen;kills;Male;Anglo;6
28561;Acwellen;Kills;Male;Anglo-Saxon;6
28562;Ada;&quot,Noble.&quot,Some variants include Ad, Adda, Addie, and Adie.;Female;German;247000
28563;Ada;happy ADABEL, ADBELLE;Female;Teutonic;247000
28564;Ada;Ibo of Nigeria name for firstborn females.;Female;African;247000
28565;Ada;Joyful;Female;German;247000
28566;Ada;Ornament.;Female;Hebrew;247000
28567;Ada;Wealthy;Female;English;247000
28568;A'dab;hope, need;Female;Arabic;63
28569;Adah;&quot,Ornamented, decorated.&quot,;Female;Hebrew;6000
28570;Adah;Beautiful. Ornament.;Female;Hebrew;6000
28571;Adahy;Cherokee name meaning &quot, lives in the woods.&quot,;Male;Native;63
28572;Adahy;Lives in the woods (Cherokee);Male;Native American;63
28573;Adair;From the ford by the oak trees;Male;Celtic;20000
